Title,Description,Group,Board,Created,Updated,URL
LPA over Applicant,,Miscellaneous,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/1c2USQkUN8lpJopFSeDBs
Payment acknowledgement,,Payments,Tags,2026-02-10 11:45,2026-04-09 10:46,https://tqresearchrepo.dovetail.com/tags/1LBoxB3z9Cd4GtzdfBCfh
Printable vs online version,,Forms & application details,Tags,2026-02-12 10:59,2026-02-12 11:00,https://tqresearchrepo.dovetail.com/tags/6dFQmMVqruvuftwpCG3hN
Application types,,Forms & application details,Tags,2026-02-10 11:45,2026-04-09 11:23,https://tqresearchrepo.dovetail.com/tags/amJoWqbvmW26r3QuBQ0AU
File management,,Document upload and handling,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/bYhjViKsHj7K27kTyBSVM
Outline sites,,"Location plans, addresses and mapping",Tags,2026-02-12 10:37,2026-02-12 10:37,https://tqresearchrepo.dovetail.com/tags/cF7Momo3gZEUTESsfiG5n
Query,,Missing features & feature requests,Tags,2026-02-10 11:45,2026-06-02 12:11,https://tqresearchrepo.dovetail.com/tags/cWaRQbh9bQbSYLjoZpdaA
Application downloading,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/dvSrdELq8g5AjRKQ1Bo8z
Planning consent,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/exkcIHxPRALzsKawI7oyn
supporting documents,,Document upload and handling,Tags,2026-02-12 10:35,2026-02-12 10:35,https://tqresearchrepo.dovetail.com/tags/f5e3g1KgtpPWmopyOPqlZ
Document replacing,,Document upload and handling,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/iMsKLuCmo3nMm5xxBJNAd
Logout on switching application,,General UX ,Tags,2026-02-12 09:58,2026-02-12 09:58,https://tqresearchrepo.dovetail.com/tags/u9sexkQMUSd3yaFtYhCiD
Agents,,User type,Tags,2026-02-10 11:45,2026-02-12 11:18,https://tqresearchrepo.dovetail.com/tags/ueoFIftp9GpFZW6IaZNPS
Guidance site,,"Guidance, clarity & jargon",Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/x5zt6yEceMc540Ia2C1YZ
uploading drawing,,Document upload and handling,Tags,2026-04-09 11:14,2026-06-04 10:35,https://tqresearchrepo.dovetail.com/tags/yVC7rDHnM4KIn5R6VS8hV
LPI tool,Mapping / Location plan / Boundary tool,"Location plans, addresses and mapping",Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/A1IYv2S8yvDeOgVfphvlw
File format,,Document upload and handling,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/BOmpt0QuuBwgbzOwAmuwi
Fees & charges,,"Fees, charges and quotes",Tags,2026-02-10 11:45,2026-06-04 10:17,https://tqresearchrepo.dovetail.com/tags/BU4wRQ44BZdsMKbkuyfkC
Overpayments/ refunds,,Payments,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/CLLiJKhUDUw4RXW0FxscH
Alter address,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/EsItzQc94nBZcKmc7o6Hq
File size,,Document upload and handling,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/JAS4LTlWaVA4DUAEivwsN
Older users,,User type,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/RkFvKGbK5JKqLeDN8LpWV
Explore further,,Miscellaneous,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/ROMycTofSESRcH5aPuaeX
Issue with the system,,Challenges and Workarounds,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/W815NRjTzSOVgve3xNHB8
Overview,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/Z14xiWfvJwMJlHxEDp032
Document uploading,,Document upload and handling,Tags,2026-02-10 11:45,2026-06-02 12:38,https://tqresearchrepo.dovetail.com/tags/12AZGNhIDe09CferxAAnem
Overall Negative ,,Negative experience,Tags,2026-02-12 10:52,2026-06-04 10:32,https://tqresearchrepo.dovetail.com/tags/12IAo0Jk7px20AVCx7RaUj
Roof repair,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/15r0j5sLZshXjco36z73pp
Bugs/ glitch,,Challenges and Workarounds,Tags,2026-02-10 11:45,2026-06-02 12:37,https://tqresearchrepo.dovetail.com/tags/16m81JK0UAGfsrt78mSNv4
Assistance,,"Guidance, clarity & jargon",Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/17CWgJGgyalpBxFXErFBxJ
Address,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/17F5ap2N9ix53bZCI0jvPY
Beginner/ One-time/ Non-professional users,,User type,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/19IgBP17QHuvDGjlTI5Uig
Transparent fees,,"Fees, charges and quotes",Tags,2026-02-10 11:45,2026-06-04 10:16,https://tqresearchrepo.dovetail.com/tags/1a0ifzJNOf1l8enmyPhHlD
Browser / device compatibility,,Challenges and Workarounds,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/1bWqmAyJ0paTkzwKynn4Po
Form completion,,Forms & application details,Tags,2026-02-10 11:45,2026-06-02 12:59,https://tqresearchrepo.dovetail.com/tags/1l98FiXVxfQNGnW2hLNbyb
Advisor,,Customer support & human assistance,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/1pguITlXpL1av2WFYeZM3B
repeated Information,,Negative experience,Tags,2026-04-08 11:21,2026-04-08 11:21,https://tqresearchrepo.dovetail.com/tags/1qDu46Cq7CdTyfeyS0amw1
"Maps for large areas (Farms, gardens..)",,"Location plans, addresses and mapping",Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/1sa44pJKffPsXbWUevhbNq
Bank details,,Payments,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/1yMgz5JpbR5iVuPwDTzfzb
LPA issue,,Negative experience,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/1zut02cmL1S2SycmH3trK6
Resubmitting application,,General UX ,Tags,2026-02-10 11:45,2026-04-09 10:52,https://tqresearchrepo.dovetail.com/tags/1CmnBn7Tq3RkgVMCjtdFYN
View uploaded documents,,Document upload and handling,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/1JT0S3Nh4OvWD6JwYF3Vzy
Company name,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/1KozXoGOr9bocbv8PyWwkc
Fire statement,,Document upload and handling,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/1OK5EWToNGdtoMxpOlLqbq
Inconsistency between online and offline versions,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/1SpcJbevCuZpr39L9xwaeQ
Document downloading,,Document upload and handling,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/1Swb2TlfBEmLTxXlI52EkB
Application questions,,Forms & application details,Tags,2026-02-10 11:45,2026-02-12 11:30,https://tqresearchrepo.dovetail.com/tags/1VL81zWrM7j4Tn7ph5GJC2
Finding/choosing application type,,General UX ,Tags,2026-02-10 11:45,2026-06-02 12:53,https://tqresearchrepo.dovetail.com/tags/1WjI0nzjdYSBVMlaJ0DF4S
List of uploaded docs,,Document upload and handling,Tags,2026-02-10 11:45,2026-06-04 10:36,https://tqresearchrepo.dovetail.com/tags/1XIquNYC6afLAUjnPA9Z3b
Tree surgeons,,User type,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/1ZTfoq6LSVWMDhg4HzC3gt
Fee quotes,,"Fees, charges and quotes",Tags,2026-02-10 11:45,2026-06-04 10:17,https://tqresearchrepo.dovetail.com/tags/20t8dU0rIo5qEH7ImqH7QZ
Group Infor e.g drawings,,General UX ,Tags,2026-04-08 11:23,2026-04-08 11:23,https://tqresearchrepo.dovetail.com/tags/22cWyOaO1WT1vj8OYDScjC
Listed consent,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/22yCTLfKjLlxVb9Yl9BOSX
Missing address,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/24Ec93nMb8Y3zx7WzbFRau
Bulk upload/delete,,Document upload and handling,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/26atbuEG15pDs0wgR8grtk
No comment,,Miscellaneous,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/285UyEtowIfb9tOSVmm32C
General UX complexity / time,,General UX ,Tags,2026-02-10 11:45,2026-06-02 13:52,https://tqresearchrepo.dovetail.com/tags/28HWFd2AdJKuBnHJMUVGqd
Rural,,Geograhical areas of applications,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/2fyWpksdN8nHrp22Woxlz1
Incorrect information,,Negative experience,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/2fBv1mvHV0ccK8lzDh685v
Amendments,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/2k0DHd47Gpl12UbHlPNpWf
Too generic,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/2maajq08tF4fEq957BymAa
Fees too high,,"Fees, charges and quotes",Tags,2026-02-10 11:45,2026-06-02 13:00,https://tqresearchrepo.dovetail.com/tags/2mxmSL7CT7vWBSPiJBIUt3
Disability exemption,,"Fees, charges and quotes",Tags,2026-02-10 11:45,2026-06-02 13:32,https://tqresearchrepo.dovetail.com/tags/2nr9bntfLokZht2qEvj11k
Change of use,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/2sgg8kEEd7uxcDFXyJG2iE
Missing/ suggested features,,Missing features & feature requests,Tags,2026-02-10 11:45,2026-04-08 12:42,https://tqresearchrepo.dovetail.com/tags/2vlNkG4EH8JcjCfbFPlCjc
Form saving,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/2wSG89SUISu5lmCtkXPHui
Design access statement,,Document upload and handling,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/2z112tQxZxhvzaIVVvAvG8
Application for display of advertisements,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/2AcmvQ9IDT8tkKVvmhMWzZ
Minor applications,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/2EbOXRkmm6Zstn59cAZgdJ
Painpoints,,Challenges and Workarounds,Tags,2026-02-10 11:45,2026-06-02 13:24,https://tqresearchrepo.dovetail.com/tags/2KDGGuTw823QEZvYDI4N25
CIC (Community interest company?),,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/2M0eYKXE3e3RMdLYImhv3t
Asking unnecessary information,,Forms & application details,Tags,2026-02-10 11:45,2026-06-02 13:15,https://tqresearchrepo.dovetail.com/tags/2OhvGJsDNkW1jtT4Ph4t51
RequestAPlan,,"Location plans, addresses and mapping",Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/2WrZYnuHPloUeqxaOtcUgA
Infrequent,,User type,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/341gjw1ia95w17u31CHqgF
Window replacement,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/35snrjMHDguQY8JiJkoGYd
NI PP,,Miscellaneous,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/36nsEER3ciqfCiJ8HOrL8N
Agent/applicant name/details,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/39LZWWGrAjBG0kfkLVspwB
Projects,,Missing features & feature requests,Tags,2026-02-10 11:45,2026-06-02 13:17,https://tqresearchrepo.dovetail.com/tags/3cdltlqHhdTljIazRhGM73
Listed building application,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3cKZEWG0pIgjpvyNzMr6D8
Nominations,,Payments,Tags,2026-02-10 11:45,2026-06-02 11:51,https://tqresearchrepo.dovetail.com/tags/3ilJ2UbrXpEmzX74TI0WKU
Easy to use/ Straightforward,,Overall Positive Experience,Tags,2026-02-10 11:45,2026-06-04 10:29,https://tqresearchrepo.dovetail.com/tags/3mpnlvX6pnrywspOJNhiZV
Support email,,Customer support & human assistance,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3mNuf6vVX0yL1kOK77erxp
Document tagging,,Document upload and handling,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3pQkuZbIaEKIUNNz9nqxxS
Submit directly to LPA (bypass portal),,Negative experience,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3qGIWhwaxddG3X1GqOW2Dd
Login details,,General UX ,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3u8oUFPw1vGb7nCPLmGvqt
Guidance,,"Guidance, clarity & jargon",Tags,2026-02-10 11:45,2026-04-09 11:06,https://tqresearchrepo.dovetail.com/tags/3wZTLeiUoeXpV8Jna85Hr1
Misc,,Miscellaneous,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3x5fldHWrssZgkUVVgEHIA
Pre-apps,,Missing features & feature requests,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3yKJUcSq86E8hcAGSUV8oe
Edit form,,Forms & application details,Tags,2026-04-08 11:28,2026-04-08 11:28,https://tqresearchrepo.dovetail.com/tags/3Dg8G68nXAuwNreQCOrmj0
Progress indicator,,General UX ,Tags,2026-02-10 11:45,2026-02-12 10:21,https://tqresearchrepo.dovetail.com/tags/3HR8VXxfSwT7SszuEPFXM4
Housing type / dwelling format,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3HXp04UXCPvunNChZjiteC
uses of each storey,,Planning App/work types,Tags,2026-04-09 11:10,2026-04-09 11:11,https://tqresearchrepo.dovetail.com/tags/3IZJspxIWYGCPSRi4PFBiH
Content,,"Guidance, clarity & jargon",Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3MklDKnTeoNP5TbboWxwAw
Owner details,,Forms & application details,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3OKD0VOgzQZFwQxOPhCxQI
Positive experience/ other praises,,Overall Positive Experience,Tags,2026-02-10 11:45,2026-06-04 10:33,https://tqresearchrepo.dovetail.com/tags/3PmfkdZskaENkcUUcSmDec
CIL forms,,Planning App/work types,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3Py8F9ki6rkNJcyGCJezrg
Seeked AI support,,Challenges and Workarounds,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3QN5y1sDExSbl4g3eaG26M
Required documents,,Document upload and handling,Tags,2026-02-10 11:45,2026-02-10 11:45,https://tqresearchrepo.dovetail.com/tags/3Sy92emN4cmeuyWpVZrKYN
Too complex,,Negative experience,Tags,2026-02-10 11:45,2026-02-12 09:59,https://tqresearchrepo.dovetail.com/tags/3TZjacorBaTqsqmySTviP8
